	observed_otus
1939.SKBTI.0218.cropped.filtered.nonchimera.fasta	178
1939.SKBTI044.cropped.filtered.nonchimera.fasta	163
1939.SKBTI040.cropped.filtered.nonchimera.fasta	87
1939.SKBTI.0991.cropped.filtered.nonchimera.fasta	196
1939.SKBTI.0763.cropped.filtered.nonchimera.fasta	133
1939.SKBTI.0565.cropped.filtered.nonchimera.fasta	144
1939.SKBTI.0175.cropped.filtered.nonchimera.fasta	104
1939.SKBTI.0313.cropped.filtered.nonchimera.fasta	125
1939.SKBTI.0613.cropped.filtered.nonchimera.fasta	169
1939.SKBTI.0539.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.0490.cropped.filtered.nonchimera.fasta	167
1939.SKBTI.1187.cropped.filtered.nonchimera.fasta	173
1939.SKBTI.1103.cropped.filtered.nonchimera.fasta	82
1939.SKBTI.1013.cropped.filtered.nonchimera.fasta	147
1939.SKBTI.0255.cropped.filtered.nonchimera.fasta	120
1939.SKBTI.0151.cropped.filtered.nonchimera.fasta	161
1939.SKBTI.0178.cropped.filtered.nonchimera.fasta	144
1939.SKBTI.0144.cropped.filtered.nonchimera.fasta	236
1939.SKBTI.1271.cropped.filtered.nonchimera.fasta	145
1939.SKBTI.0248.cropped.filtered.nonchimera.fasta	119
1939.SKBTI.0945.cropped.filtered.nonchimera.fasta	144
1939.SKBTI083.cropped.filtered.nonchimera.fasta	125
1939.SKBTI088.cropped.filtered.nonchimera.fasta	175
1939.SKBTI.1176.cropped.filtered.nonchimera.fasta	85
1939.SKBTI.1142.cropped.filtered.nonchimera.fasta	152
1939.SKBTI.1220.cropped.filtered.nonchimera.fasta	206
1939.SKBTI018.cropped.filtered.nonchimera.fasta	126
1939.SKBTI.1047.cropped.filtered.nonchimera.fasta	210
1939.SKBTI.0719.cropped.filtered.nonchimera.fasta	141
